asset_no,warranty_start,warranty_expire,warranty_months
130000011582,2019-10-11,2024-10-11,61
130000011583,2019-10-11,2024-10-11,61
130000011584,2019-10-11,2024-10-11,61
130000011585,2019-10-11,2024-10-11,61
130000011596,2019-09-02,2021-09-02,24
130000011597,2019-09-02,2021-09-02,24
130000011598,2019-09-02,2021-09-02,24
130000011599,2019-09-02,2021-09-02,24
130000011600,2019-09-02,2021-09-02,24
130000011601,2019-09-02,2021-09-02,24
130000011614,2019-08-22,2024-08-22,61
130000011615,2019-08-21,2024-08-21,61
130000011963,2020-01-27,2025-01-27,61
130000011966,2019-10-19,2024-10-19,61
130000012148,2019-09-03,2020-09-03,12
130000012149,2019-09-03,2020-09-03,12
130000012152,2019-09-03,2020-09-03,12
130000012153,2019-09-03,2020-09-03,12
130000012155,2019-09-03,2020-09-03,12
130000012156,2019-09-03,2020-09-03,12
130000012158,2019-09-03,2020-09-03,12
130000012159,2019-09-03,2020-09-03,12
130000012160,2019-09-03,2020-09-03,12
130000012161,2019-09-03,2020-09-03,12
130000012162,2019-09-03,2020-09-03,12
130000012163,2019-09-03,2020-09-03,12
130000012164,2019-09-03,2020-09-03,12
130000012165,2019-09-03,2020-09-03,12
130000012166,2019-09-03,2020-09-03,12
130000012167,2019-09-03,2020-09-03,12
130000012212,2019-09-16,2020-09-16,12
130000012213,2019-09-16,2020-09-16,12
130000012214,2019-09-16,2020-09-16,12
130000012215,2019-09-16,2020-09-16,12
130000012216,2019-09-16,2020-09-16,12
130000012217,2019-09-16,2020-09-16,12
130000012218,2019-09-16,2020-09-16,12
130000012238,2019-09-13,2024-09-13,61
130000012239,2019-09-13,2024-09-13,61
130000012240,2019-09-13,2024-09-13,61
130000012241,2019-09-13,2024-09-13,61
130000012242,2019-09-13,2024-09-13,61
130000012243,2019-09-27,2020-09-27,12
130000012244,2019-09-27,2020-09-27,12
130000012245,2019-09-27,2020-09-27,12
130000012246,2019-09-27,2020-09-27,12
130000012247,2019-09-27,2020-09-27,12
130000012248,2019-09-27,2020-09-27,12
130000012286,2019-09-23,2021-09-23,24
130000012287,2019-09-23,2021-09-23,24
130000012288,2019-09-23,2021-09-23,24
130000012289,2019-09-23,2021-09-23,24
130000012290,2019-09-23,2021-09-23,24
130000012291,2019-09-23,2021-09-23,24
130000012292,2019-09-23,2021-09-23,24
130000012337,2019-09-26,2024-09-26,61
130000012338,2019-09-26,2024-09-26,61
